Tema,Serviço,Canal
Lixo e limpeza,Limpeza da via pública após enchentes ou eventos,985
Lixo e limpeza,Lixo domiciliar – Denunciar colocação de lixo fora do horário de coleta,878
Lixo e limpeza,Manutenção de caminhão de lixo,1757
Lixo e limpeza,Reclamação de falta de limpeza de ruas após a feira,272
Lixo e limpeza,Reclamação de falta de varrição,11344
Lixo e limpeza,Reclamação de não remoção dos sacos de varrição,250
Lixo e limpeza,Reclamação de não retirada de material,14833
Lixo e limpeza,Reclamações sobre coleta de lixo domiciliar,2169
Lixo e limpeza,Reclamações sobre coleta seletiva,1029
Lixo e limpeza,Remoção de entulho em via pública,993
Lixo e limpeza,Remoção de propaganda irregular,391
Lixo e limpeza,Solicitar fiscalização de feira livre,319
Meio Ambiente,Córrego - solicitar limpeza,1648
"Obras, imóveis e habitação",Solicitar fiscalização de obra e reforma em imóvel particular,6884
Rua e bairro,(antigo) Reformar galerias de águas de chuvas (pluviais),845
Rua e bairro,Acessibilidade - solicitar avaliação de obstáculo na calçada,2016
Rua e bairro,Calçada particular - denunciar calçada danificada ou inexistente,5132
Rua e bairro,Calçada pública - solicitar manutenção,6292
Rua e bairro,Denunciar despejo irregular de água usada ou esgoto,2145
Rua e bairro,Denunciar falta de limpeza de terrenos e imóveis particulares,684
Rua e bairro,Denunciar loteamento irregular ou clandestino,1432
Rua e bairro,Denunciar terreno com muro danificado/inexistente,231
Rua e bairro,Drenagem de água da chuva - Bueiros e bocas de lobo,2153
Rua e bairro,Guias para travessia de pedestres - Solicitar rebaixamento,351
Rua e bairro,Pavimentação de ruas não asfaltadas,1069
Rua e bairro,Praça e canteiro central - solicitar roçada,13026
Rua e bairro,Praças - solicitar manutenção de equipamentos de ginástica,622
Rua e bairro,Praças - sugerir reforma e revitalização,603
Rua e bairro,Recapeamento,1942
Rua e bairro,Reclamação de afundamento da pavimentação em vias públicas,1597
Rua e bairro,Reclamação de poluição sonora - PSIU,14232
Rua e bairro,Reclamação sobre iluminação pública (ILUME),203
Rua e bairro,Reformar galerias de águas de chuvas (pluviais),1190
Rua e bairro,Reparo da fiação elétrica,263
Rua e bairro,Reparo de luminária,206
Rua e bairro,Reparo de lâmpada,4057
Rua e bairro,Solicitar fiscalização de ambulantes,764
Rua e bairro,"Solicitar limpeza de bueiros, boca de lobo e poços de visita",6746
Rua e bairro,Solicitar plantio de árvores em passeio público ou calçada,1204
Rua e bairro,Tapa-buraco,30300
Rua e bairro,Árvore - denunciar poda ou remoção não autorizada,1488
Rua e bairro,Árvore - solicitar manejo em área pública,41390
Saúde,Denunciar local com acúmulo de água limpa e parada,30042
Segurança urbana,Solicitação de policiamento,242
Trânsito e Transporte,Circulação e acesso de veículos e pessoas - Solicitar avaliação,3026
Trânsito e Transporte,Criação/reativação de linha de ônibus,228
Trânsito e Transporte,Denunciar má conduta de empregados da CET,219
Trânsito e Transporte,Denunciar reserva irregular de vaga,228
Trânsito e Transporte,Dificuldade de contato telefônico com a SPTrans,241
Trânsito e Transporte,Implantação de abrigo ou ponto de ônibus,1379
Trânsito e Transporte,Instalação de placa com nome de rua,355
Trânsito e Transporte,Intensificar fiscalização de veículos em movimento,640
Trânsito e Transporte,Intensificar fiscalização de veículos estacionados/parados irregularmente,5648
Trânsito e Transporte,Manutenção de placas de trânsito,333
Trânsito e Transporte,Manutenção de semáforos,394
Trânsito e Transporte,"Manutenção, conserto e limpeza de ponto de ônibus",355
Trânsito e Transporte,Reativação de um abrigo ou ponto que foi extinto,474
Trânsito e Transporte,Reclamação de obras na via,700
Trânsito e Transporte,Reclamação de problemas no olho vivo,304
Trânsito e Transporte,Remanejamento de ponto de ônibus,431
Trânsito e Transporte,Remoção de veículo/carcaça abandonado na via pública,11591
Trânsito e Transporte,Reparo de problemas mecânicos,276
Trânsito e Transporte,SPTrans - Sugestão,518
Trânsito e Transporte,Semáforo de veículos e pedestres - Sugerir ajuste de tempo,332
Trânsito e Transporte,Sinalização horizontal apagada (pintura de solo) – Solicitar repintura,860
Trânsito e Transporte,Sugerir criação e ampliação de estacionamento de veículos em vias públicas,1122
Trânsito e Transporte,Travessia de pedestres - Solicitar avaliação,1026
Trânsito e Transporte,Vaga de estacionamento na via - solicitar análise de proibição,2853
Trânsito e Transporte,Vaga de estacionamento na via - solicitar desativação ou modificação,758
Trânsito e Transporte,Ônibus - Alteração de itinerário ou ponto inicial/final,351
Trânsito e Transporte,Ônibus - Denúncia de alteração de itinerário ou ponto inicial/final,599
Trânsito e Transporte,"Ônibus - Denúncia de conduta do motorista, cobrador ou fiscal",6264
Trânsito e Transporte,Ônibus - Denúncia de direção inadequada ou perigosa de veículo,2634
Trânsito e Transporte,Ônibus - Denúncia de problemas no embarque/desembarque,7329
Trânsito e Transporte,Ônibus - Manutenção do veículo em geral,309
Trânsito e Transporte,Ônibus - Reclamação de descumprimento de partida no ponto inicial/final,1697
Trânsito e Transporte,Ônibus - Reclamação de intervalo excessivo da linha,5482
Trânsito e Transporte,Ônibus - Reclamação de veículo com superlotação,407
